Line,Location
FA114,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
"Gross:1,99",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
FA116,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
"Gross:2,36",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
FA101,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
"Gross:17,00",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
FB120,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
"Gross:36,01",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
FB102,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
"Gross:45,51",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
FB112,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
"Gross:51,39",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
FB105,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
"Gross:0,88",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
FB104,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
"Gross:1,77",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
FB107,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
"Gross:62,56",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
FB108,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
"Gross:50,96",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
FB109,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
"Gross:102,48",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
FB111,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
"Gross:51,43",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
FB119,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
"Gross:2,85",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
FB115,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
"Gross:6,69",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
FB114,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
"Gross:6,39",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
FB118,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
"Gross:102,19",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
FB116,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
"Gross:17,51",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
FB117,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
"Gross:22,26",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
FB103A,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
"Gross:1,60",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
FB103,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
"Gross:30,65",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
FB101,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
"Gross:17,01",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
FC115,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
"Gross:32,19",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
FC116,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
"Gross:51,26",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
FC103,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
"Gross:26,60",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
FC118,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
"Gross:35,81",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
FC107,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
"Gross:66,12",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
FC114,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
"Gross:23,48",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
FC113,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
